state,county,county_id,year,treat,dem_share_pres,dem_share_gov,dem_share_sen,turnout_share,vbm_share,share_votes_dem,cvap,state_year,year_c,year_c2,extension
CA,San Luis Obispo,40,2002,0,,0.40570929646492004,,0.4507790207862854,0.38483723998069763,0.3605126142501831,,CA_2002,6,36,0
CA,San Luis Obispo,40,2004,0,0.46349528431892395,,,0.6859194040298462,0.4254188537597656,0.35762929916381836,,CA_2004,8,64,0
CA,San Luis Obispo,40,2006,0,,0.33078670501708984,,0.5124255418777466,0.5312219858169556,0.3647376000881195,,CA_2006,10,100,0
CA,San Luis Obispo,40,2008,0,0.5275514125823975,,,0.6793210506439209,0.5103945136070251,0.35884958505630493,,CA_2008,12,144,0
CA,San Luis Obispo,40,2010,0,,0.4779731035232544,,0.5381131768226624,0.5861280560493469,0.3583207130432129,200705.0,CA_2010,14,196,0
CA,San Luis Obispo,40,2012,0,0.5053247809410095,,,0.6200610995292664,0.6327177286148071,0.35902875661849976,204525.0,CA_2012,16,256,0
CA,San Luis Obispo,40,2014,0,,0.5432441234588623,,0.4211524724960327,0.7101989388465881,0.36426252126693726,208250.0,CA_2014,18,324,0
CA,San Luis Obispo,40,2016,0,0.5443859696388245,,,0.6551368236541748,0.7065253853797913,0.36300212144851685,213215.0,CA_2016,20,400,0
CA,San Luis Obispo,40,2018,0,,0.5157618522644043,,0.5914475917816162,0.7564762830734253,0.3698330521583557,217015.0,CA_2018,22,484,0
CA,San Luis Obispo,40,2020,0,0.56701295699408,,,0.7235861881457314,,,220680.0,CA_2020,24,576,1
CA,San Luis Obispo,40,2022,0,,0.5112931538911645,,,,,220680.0,CA_2022,26,676,1
CA,San Luis Obispo,40,2024,0,0.5560083694596776,,,0.6831883269893058,,,220680.0,CA_2024,28,784,1
CA,San Mateo,41,1998,0,,0.7058040499687195,,0.4744713306427002,0.32015103101730347,0.5568259954452515,443860.0,CA_1998,2,4,0
CA,San Mateo,41,2000,0,0.6749846935272217,,,,,0.5440476536750793,,CA_2000,4,16,0
CA,San Mateo,41,2002,0,,0.6596364974975586,,0.4033021330833435,0.31725969910621643,0.5527235865592957,,CA_2002,6,36,0
CA,San Mateo,41,2004,0,0.7037551999092102,,,0.6481039524078369,0.4314861595630646,0.5332575440406799,,CA_2004,8,64,0
CA,San Mateo,41,2006,0,,0.5015859603881836,,0.47220298647880554,0.49755388498306274,0.5471411943435669,,CA_2006,10,100,0
CA,San Mateo,41,2008,0,0.7480319738388062,,,0.6883058547973633,0.480946809053421,0.5334009528160095,,CA_2008,12,144,0
CA,San Mateo,41,2010,0,,0.6783559918403625,,0.5053413510322571,0.5208323001861572,0.5393974781036377,447735.0,CA_2010,14,196,0
CA,San Mateo,41,2012,0,0.739077091217041,,,0.6307608485221863,0.5869185328483582,0.5379104018211365,457530.0,CA_2012,16,256,0
CA,San Mateo,41,2014,0,,0.7522436380386353,,0.3474713861942291,0.6712982058525085,0.5455893874168396,473285.0,CA_2014,18,324,0
CA,San Mateo,41,2016,0,0.8041688799858093,,,0.6652188301086426,0.6751839518547058,0.5354348421096802,486010.0,CA_2016,20,400,0
CA,San Mateo,41,2018,1,,0.7522537708282471,,0.5822820663452148,0.8827648162841797,0.5373368859291077,498140.0,CA_2018,22,484,0
CA,San Mateo,41,2020,1,0.7940911184201562,,,0.7443828775504113,,,502615.0,CA_2020,24,576,1
CA,San Mateo,41,2022,1,,0.7498434450967004,,,,,502615.0,CA_2022,26,676,1
CA,San Mateo,41,2024,1,0.7602550903862342,,,0.6575808521432905,,,502615.0,CA_2024,28,784,1
CA,Santa Barbara,42,1998,0,,0.5549785494804382,,0.49702054262161255,0.34877923130989075,0.4313916265964508,252050.0,CA_1998,2,4,0
CA,Santa Barbara,42,2000,0,0.5066182017326355,,,,,0.42553383111953735,,CA_2000,4,16,0
CA,Santa Barbara,42,2002,0,,0.4899056851863861,,0.4654541015625,0.40308472514152527,0.4241616725921631,,CA_2002,6,36,0
CA,Santa Barbara,42,2004,0,0.5404140949249268,,,0.6795241832733154,0.4252290725708008,0.42440128326416016,,CA_2004,8,64,0
CA,Santa Barbara,42,2006,0,,0.3678886592388153,,0.4963710606098175,0.5542941093444824,0.43061742186546326,,CA_2006,10,100,0
CA,Santa Barbara,42,2008,0,0.6169078350067139,,,0.6981402635574341,0.5216184854507446,0.4325580894947052,,CA_2008,12,144,0
CA,Santa Barbara,42,2010,0,,0.5216487646102905,,0.5189445614814758,0.5758015513420105,0.42751964926719666,259045.0,CA_2010,14,196,0
CA,Santa Barbara,42,2012,0,0.5929946303367615,,,0.621019721031189,0.5890821218490601,0.43363896012306213,265655.0,CA_2012,16,256,0
CA,Santa Barbara,42,2014,0,,0.582614541053772,,0.41904518008232117,0.6774665713310242,0.4244939088821411,272300.0,CA_2014,18,324,0
CA,Santa Barbara,42,2016,0,0.6552746891975403,,,0.6545780897140503,0.6617434024810791,0.44373923540115356,278445.0,CA_2016,20,400,0
CA,Santa Barbara,42,2018,0,,0.6048755645751953,,0.5598047375679016,0.7144206762313843,0.4484425485134125,281700.0,CA_2018,22,484,0
CA,Santa Barbara,42,2020,0,0.6640963929299588,,,0.6963511516731856,,,287625.0,CA_2020,24,576,1
CA,Santa Barbara,42,2022,0,,0.5957421661471184,,,,,287625.0,CA_2022,26,676,1
CA,Santa Barbara,42,2024,0,0.6376362285567454,,,0.6422077357670578,,,287625.0,CA_2024,28,784,1
CA,Santa Clara,43,1998,0,,0.6700361967086792,,0.4508828818798065,0.2035619020462036,0.5081072449684143,974140.0,CA_1998,2,4,0
CA,Santa Clara,43,2000,0,0.6378827691078186,,,,,0.4968077838420868,,CA_2000,4,16,0
CA,Santa Clara,43,2002,0,,0.6304887533187866,,0.38099607825279236,0.19554726779460907,0.5018104910850525,,CA_2002,6,36,0
CA,Santa Clara,43,2004,0,0.6486960649490356,,,0.6134288907051086,0.3021576702594757,0.48640206456184387,,CA_2004,8,64,0
CA,Santa Clara,43,2006,0,,0.45112380385398865,,0.44035327434539795,0.4166088402271271,0.4935815930366516,,CA_2006,10,100,0
CA,Santa Clara,43,2008,0,0.7086542844772339,,,0.667911946773529,0.5728880167007446,0.48306289315223694,,CA_2008,12,144,0
CA,Santa Clara,43,2010,0,,0.6373273134231567,,0.5084530711174011,0.6847907900810242,0.4830210506916046,1029450.0,CA_2010,14,196,0
CA,Santa Clara,43,2012,0,0.7205467224121094,,,0.6111234426498413,0.7009456157684326,0.48461899161338806,1068915.0,CA_2012,16,256,0
CA,Santa Clara,43,2014,0,,0.7294067144393921,,0.3637121319770813,0.7622833251953125,0.4808073341846466,1111225.0,CA_2014,18,324,0
CA,Santa Clara,43,2016,0,0.7794001698493958,,,0.6343168616294861,0.7372618913650513,0.4847553074359894,1142325.0,CA_2016,20,400,0
CA,Santa Clara,43,2018,0,,0.7139512300491333,,0.5344393849372864,0.7786017656326294,0.4889087975025177,1170245.0,CA_2018,22,484,0
CA,Santa Clara,43,2020,1,0.7422322686495816,,,0.7231499785313761,,,1176135.0,CA_2020,24,576,1
CA,Santa Clara,43,2022,1,,0.7000931914854354,,,,,1176135.0,CA_2022,26,676,1
CA,Santa Clara,43,2024,1,0.7077270988875771,,,0.6380500537778401,,,1176135.0,CA_2024,28,784,1
CA,Santa Cruz,44,1998,0,,0.7029344439506531,,0.520300030708313,0.2943648099899292,0.5967778563499451,167150.0,CA_1998,2,4,0
CA,Santa Cruz,44,2000,0,0.692171037197113,,,,,0.5874154567718506,,CA_2000,4,16,0
CA,Santa Cruz,44,2002,0,,0.6784928441047668,,0.47691723704338074,0.33025506138801575,0.5977983474731445,,CA_2002,6,36,0
CA,Santa Cruz,44,2004,0,0.7458980679512024,,,0.73188716173172,0.38120463490486145,0.5806407928466797,,CA_2004,8,64,0
CA,Santa Cruz,44,2006,0,,0.5353009700775146,,0.5455276370048523,0.45586320757865906,0.5936887264251709,,CA_2006,10,100,0
CA,Santa Cruz,44,2008,0,0.79640132188797,,,0.7574583888053894,0.4706312417984009,0.5788631439208984,,CA_2008,12,144,0
CA,Santa Cruz,44,2010,0,,0.7334339022636414,,0.5667533874511719,0.5141018033027649,0.5858381986618042,172980.0,CA_2010,14,196,0
CA,Santa Cruz,44,2012,0,0.7906261682510376,,,0.6825293302536011,0.5305836200714111,0.58341383934021,177755.0,CA_2012,16,256,0
CA,Santa Cruz,44,2014,0,,0.7861499190330505,,0.40411537885665894,0.5908157825469971,0.596407949924469,183215.0,CA_2014,18,324,0
CA,Santa Cruz,44,2016,0,0.8093417286872864,,,0.7043353319168091,0.6281617879867554,0.580314040184021,187645.0,CA_2016,20,400,0
CA,Santa Cruz,44,2018,0,,0.7678877115249634,,0.6377236843109131,0.6809203028678894,0.5792363882064819,190835.0,CA_2018,22,484,0
CA,Santa Cruz,44,2020,0,0.8092050742653152,,,0.7483964336477581,,,193475.0,CA_2020,24,576,1
CA,Santa Cruz,44,2022,1,,0.7595061870614098,,,,,193475.0,CA_2022,26,676,1
CA,Santa Cruz,44,2024,1,0.7830759211016003,,,0.6932937071973123,,,193475.0,CA_2024,28,784,1
CA,Shasta,45,1998,0,,0.45065030455589294,,0.4754191040992737,0.265386164188385,0.27406060695648193,117895.0,CA_1998,2,4,0
CA,Shasta,45,2000,0,0.31743553280830383,,,,,0.26408442854881287,,CA_2000,4,16,0
CA,Shasta,45,2002,0,,0.34820228815078735,,0.4136621356010437,0.32449114322662354,0.2688980996608734,,CA_2002,6,36,0
CA,Shasta,45,2004,0,0.31779131293296814,,,0.6311578154563904,0.44472944736480713,0.25741541385650635,,CA_2004,8,64,0
